c array.sh: start time           Tue Feb  4 15:34:27 CET 2025
c array.sh: job id               6468158
c array.sh: task id              1
c array.sh: start index          1
c array.sh: end index            65
c array.sh: index                1
c array.sh: benchmark            002
c array.sh: index                2
c array.sh: benchmark            004
c array.sh: index                3
c array.sh: benchmark            128_100.sanitized
c array.sh: index                4
c array.sh: benchmark            128_125.sanitized
c array.sh: index                5
c array.sh: benchmark            128_75.sanitized
c array.sh: index                6
c array.sh: benchmark            170058440
c array.sh: index                7
c array.sh: benchmark            1-ET-256-K-55.sanitized
c array.sh: index                8
c array.sh: benchmark            1-ET-256-K-70.sanitized
c array.sh: index                9
c array.sh: benchmark            1-ET-512-K-110.sanitized
c array.sh: index                10
c array.sh: benchmark            1-ET-512-K-96.sanitized
c array.sh: index                11
c array.sh: benchmark            1-TC-256-K-64.sanitized
c array.sh: index                12
c array.sh: benchmark            1-TC-256-K-68.sanitized
c array.sh: index                13
c array.sh: benchmark            1-TC-256-K-71.sanitized
c array.sh: index                14
c array.sh: benchmark            1-ZC-1024-K-116.sanitized
c array.sh: index                15
c array.sh: benchmark            1-ZC-1024-K-117.sanitized
c array.sh: index                16
c array.sh: benchmark            1-ZC-512-K-60.sanitized
c array.sh: index                17
c array.sh: benchmark            1-ZC-512-K-61.sanitized
c array.sh: index                18
c array.sh: benchmark            1-ZC-512-K-63.sanitized
c array.sh: index                19
c array.sh: benchmark            1-ZC-512-K-64.sanitized
c array.sh: index                20
c array.sh: benchmark            1-ZC-512-K-65.sanitized
c array.sh: index                21
c array.sh: benchmark            1-ZC-512-K-67.sanitized
c array.sh: index                22
c array.sh: benchmark            2dlx_ca_bp_f_liveness
c array.sh: index                23
c array.sh: benchmark            32_100.sanitized
c array.sh: index                24
c array.sh: benchmark            32_200.sanitized
c array.sh: index                25
c array.sh: benchmark            32_325.sanitized
c array.sh: index                26
c array.sh: benchmark            32_350.sanitized
c array.sh: index                27
c array.sh: benchmark            64_150.sanitized
c array.sh: index                28
c array.sh: benchmark            64_200.sanitized
c array.sh: index                29
c array.sh: benchmark            64_25.sanitized
c array.sh: index                30
c array.sh: benchmark            6g_6color_366_050_04
c array.sh: index                31
c array.sh: benchmark            6s130-opt
c array.sh: index                32
c array.sh: benchmark            6s167-opt
c array.sh: index                33
c array.sh: benchmark            af-synthesis_stb_50_100_4_sat
c array.sh: index                34
c array.sh: benchmark            af-synthesis_stb_50_100_9_sat
c array.sh: index                35
c array.sh: benchmark            af-synthesis_stb_50_100_9_unsat
c array.sh: index                36
c array.sh: benchmark            af-synthesis_stb_50_120_4_sat
c array.sh: index                37
c array.sh: benchmark            af-synthesis_stb_50_140_0_unsat
c array.sh: index                38
c array.sh: benchmark            af-synthesis_stb_50_140_1_unsat
c array.sh: index                39
c array.sh: benchmark            af-synthesis_stb_50_140_3_unsat
c array.sh: index                40
c array.sh: benchmark            af-synthesis_stb_50_200_0_sat
c array.sh: index                41
c array.sh: benchmark            af-synthesis_stb_50_200_0_unsat
c array.sh: index                42
c array.sh: benchmark            af-synthesis_stb_50_200_4_unsat
c array.sh: index                43
c array.sh: benchmark            af-synthesis_stb_50_40_2_unsat
c array.sh: index                44
c array.sh: benchmark            af-synthesis_stb_50_40_9_sat
c array.sh: index                45
c array.sh: benchmark            af-synthesis_stb_50_40_9_unsat
c array.sh: index                46
c array.sh: benchmark            apn-sbox5-cut3-symmbreak
c array.sh: index                47
c array.sh: benchmark            asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c
c array.sh: index                48
c array.sh: benchmark            asconhashv12_opt64_H11_M2-MxJOnbQIXNd_m5_6.c
c array.sh: index                49
c array.sh: benchmark            asconhashv12_opt64_H11_M2-tBi5i1RIgRz_m0_1_U23.c
c array.sh: index                50
c array.sh: benchmark            asconhashv12_opt64_H5_M2-xEJ8F_m0_3_U5.c
c array.sh: index                51
c array.sh: benchmark            asconhashv12_opt64_H6_M2-PgbpwX_m0_4_U1.c
c array.sh: index                52
c array.sh: benchmark            asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c
c array.sh: index                53
c array.sh: benchmark            atco_enc1_opt1_10_15
c array.sh: index                54
c array.sh: benchmark            barman-pfile06-022.sas.ex.7
c array.sh: index                55
c array.sh: benchmark            battleship-14-26-sat
c array.sh: index                56
c array.sh: benchmark            bmc_QICE_snp_vld_30
c array.sh: index                57
c array.sh: benchmark            bphp_p23_h22.sanitized
c array.sh: index                58
c array.sh: benchmark            Break_08_24.xml
c array.sh: index                59
c array.sh: benchmark            Break_18_32.xml
c array.sh: index                60
c array.sh: benchmark            Break_20_72.xml
c array.sh: index                61
c array.sh: benchmark            Break_triple_20_36.xml
c array.sh: index                62
c array.sh: benchmark            Break_unsat_04_03.xml
c array.sh: index                63
c array.sh: benchmark            Break_unsat_06_07.xml
c array.sh: index                64
c array.sh: benchmark            Break_unsat_14_23.xml
c array.sh: end time             Tue Feb  4 16:58:50 CET 2025
